,Unnamed: 0,SMILES,Measured Log Solubility,SMILES_with_H
0,0,CC(C)=CCCC(C)=CC(=O),0.3904129382012304,[H]C(=O)C([H])=C(C([H])([H])[H])C([H])([H])C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H]
1,1,CCCC=C,0.0904212762386961,[H]C([H])=C([H])C([H])([H])C([H])([H])C([H])([H])[H]
2,2,CCCCCCCCCCCCCC,-2.464346425635788,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
3,3,CC(C)Cl,0.7049203257425969,[H]C([H])([H])C([H])(Cl)C([H])([H])[H]
4,4,CCC(C)CO,1.1597463938793422,[H]OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
5,5,CCCCCCCCCC(C)O,-0.0353816787778503,[H]OC([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
6,6,CCOP(=S)(OCC)SCSCC,-0.6014949763523101,[H]C([H])(SC([H])([H])C([H])([H])[H])SP(=S)(OC([H])([H])C([H])([H])[H])OC([H])([H])C([H])([H])[H]
7,7,CCCCCCCO,0.5113773180248329,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
8,8,CCCCCCCC(=O)OC,-0.1466689082155645,[H]C([H])([H])OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
9,9,CCOP(=S)(OCC)SCSC(C)(C)C,-0.9135830762972044,[H]C([H])(SC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])SP(=S)(OC([H])([H])C([H])([H])[H])OC([H])([H])C([H])([H])[H]
10,10,ClC(=C)Cl,0.5936330963048826,[H]C([H])=C(Cl)Cl
11,11,CCCCC=O,0.9758805365474664,[H]C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
12,12,CCCCCCCI,-0.9401952398583968,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])I
13,13,OCCCC=C,1.3145808000535537,[H]OC([H])([H])C([H])([H])C([H])([H])C([H])=C([H])[H]
14,14,CC(C)OC=O,1.0823291907922366,[H]C(=O)OC([H])(C([H])([H])[H])C([H])([H])[H]
15,15,CCCCCC(C)O,0.6371802730413795,[H]OC([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
16,16,CCCCCCC#C,-0.3837590926698255,[H]C#CC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H]
